URL,Parcel ID,Tax Deed Date,Tax Deed Price,Bldg Value,Land Value,FLIP Date,FLIP Price,Instrument,Qualified,Vacant/Imp
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=260823-004656-002-18,260823-004656-002-18,"Wednesday January 15, 2025","$7,050.00",$0,"$18,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=210623-021597-000-00,210623-021597-000-00,"Wednesday January 15, 2025","$42,500.00",MANUAL REVIEW,MANUAL REVIEW,MANUAL REVIEW,MANUAL REVIEW,MANUAL REVIEW,MANUAL REVIEW,MANUAL REVIEW
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=140823-001437-511-00,140823-001437-511-00,"Wednesday February 26, 2025","$20,050.00",$0,"$23,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=140823-001544-003-00,140823-001544-003-00,"Wednesday April 9, 2025","$8,150.00",$0,"$21,250",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=210823-003497-000-00,210823-003497-000-00,"Wednesday April 9, 2025","$8,250.00",$0,"$11,500",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=200823-002305-000-00,200823-002305-000-00,"Wednesday June 25, 2025","$22,400.00","$55,344","$4,500",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=300824-007847-000-00,300824-007847-000-00,"Wednesday July 9, 2025","$4,100.00",$0,"$30,862",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=310824-007851-062-00,310824-007851-062-00,"Wednesday July 23, 2025","$3,450.00",$0,"$12,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=310824-007851-063-00,310824-007851-063-00,"Wednesday July 23, 2025","$5,050.00",$0,"$12,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=040824-006919-675-00,040824-006919-675-00,"Wednesday August 6, 2025","$32,550.00","$18,818","$19,980",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003654-000-00,220823-003654-000-00,"Wednesday August 6, 2025","$2,000.00",$0,"$6,250",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=410426-018739-000-00,410426-018739-000-00,"Wednesday August 20, 2025","$45,050.00","$62,202","$35,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=200823-002572-000-00,200823-002572-000-00,"Wednesday October 1, 2025","$12,550.00",$0,"$4,500",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=190824-007802-044-00,190824-007802-044-00,"Wednesday November 19, 2025","$18,850.00",$0,"$35,996",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=110524-006012-000-00,110524-006012-000-00,"Wednesday December 3, 2025","$100,805.87","$179,698","$109,416",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=210823-003710-000-00,210823-003710-000-00,"Wednesday December 3, 2025","$6,050.00",$0,"$6,500",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=210823-004118-000-00,210823-004118-000-00,"Wednesday December 3, 2025","$2,150.00",$0,"$5,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=320524-006700-362-00,320524-006700-362-00,"Wednesday December 3, 2025","$10,050.00",$0,"$5,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003634-000-00,220823-003634-000-00,"Wednesday December 3, 2025","$2,250.00",$0,"$5,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003623-000-00,220823-003623-000-00,"Wednesday December 17, 2025","$3,750.00",$0,"$6,500",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=210823-004159-000-00,210823-004159-000-00,"Wednesday December 17, 2025","$11,050.00",$0,"$5,000",N/A,N/A,N/A,N/A,N/A
https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=160823-004388-000-00,160823-004388-000-00,"Wednesday January 14, 2026","$14,650.00",$0,"$6,000",N/A,N/A,N/A,N/A,N/A
