URL,Parcel ID,Tax Deed Date,Tax Deed Price,Bldg Value,Land Value,FLIP Date,FLIP Price,Instrument,Qualified,Vacant/Imp
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0819000000,081900-0000,"Wednesday January 15, 2025","$39,500.00",$0.00,"$61,831.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1317820000,131782-0000,"Wednesday January 15, 2025","$17,100.00",$0.00,"$10,909.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1156670005,115667-0005,"Wednesday January 15, 2025","$26,100.00",$0.00,"$17,533.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1462550000,146255-0000,"Wednesday January 15, 2025","$7,300.00",$0.00,"$1,155.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0764230000,076423-0000,"Wednesday January 15, 2025","$15,100.00",$0.00,"$17,800.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0585890000,058589-0000,"Wednesday January 15, 2025","$20,000.00",$0.00,"$16,065.00",10/3/2025,"$230,000.00",WD - Warranty Deed,Qualified,Improved
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0054870000,005487-0000,"Wednesday January 15, 2025","$29,100.00",$0.00,"$9,360.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0519940000,051994-0000,"Wednesday January 15, 2025","$20,100.00",$0.00,"$12,154.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0769450010,076945-0010,"Wednesday January 15, 2025","$20,000.00",$0.00,"$14,352.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1083290000,108329-0000,"Wednesday January 15, 2025","$3,900.00",$0.00,"$1,365.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0843140210,084314-0210,"Wednesday January 15, 2025","$8,500.00",$0.00,"$8,798.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0523870000,052387-0000,"Wednesday January 15, 2025","$3,500.00",$0.00,"$12,006.00",N/A,N/A,N/A,N/A,N/A
https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0463820010,046382-0010,"Wednesday January 15, 2025","$11,700.00",$0.00,"$9,922.00",N/A,N/A,N/A,N/A,N/A
