Date,Parcel ID,Address,Sale Amount,Assessed Value,Opening Bid,Link
"Wednesday January 15, 2025",081900-0000,"2426 MARK AVE, JACKSONVILLE, FL- 32207","$39,500.00","$13,602.00","$5,389.00",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0819000000
"Wednesday January 15, 2025",131782-0000,"1721 E 22ND ST, JACKSONVILLE, FL- 32206","$17,100.00","$3,163.00","$1,843.54",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1317820000
"Wednesday January 15, 2025",115667-0005,"1842 E 9TH ST, JACKSONVILLE, FL- 32206","$26,100.00","$16,530.00","$5,593.25",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1156670005
"Wednesday January 15, 2025",146255-0000,"0 PACKARD DR, JACKSONVILLE, FL- 32246","$7,300.00","$1,155.00","$1,571.25",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1462550000
"Wednesday January 15, 2025",076423-0000,"1780 W 2ND ST, JACKSONVILLE, FL- 32209","$15,100.00","$6,659.00","$3,124.16",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0764230000
"Wednesday January 15, 2025",058589-0000,"4636 HUNT ST, JACKSONVILLE, FL- 32254","$20,000.00","$4,442.00","$1,554.73",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0585890000
"Wednesday January 15, 2025",005487-0000,"8137 WYOMING ST, JACKSONVILLE, FL- 32220","$29,100.00","$7,535.00","$1,998.25",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0054870000
"Wednesday January 15, 2025",051994-0000,"1653 W 7TH ST, JACKSONVILLE, FL- 32209","$20,100.00","$6,446.00","$1,736.76",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0519940000
"Wednesday January 15, 2025",076945-0010,"1046 LINE ST, JACKSONVILLE, FL- 32209","$20,000.00","$6,292.00","$1,833.67",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0769450010
"Wednesday January 15, 2025",108329-0000,"0 WADE RD, JACKSONVILLE, FL- 32218","$3,900.00","$1,365.00","$3,622.54",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1083290000
"Wednesday January 15, 2025",084314-0210,"0 N CANAL ST, JACKSONVILLE, FL- 32209","$8,500.00","$4,591.00","$1,876.09",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0843140210
"Wednesday January 15, 2025",052387-0000,"0 WILSON ST, JACKSONVILLE, FL- 32209","$3,500.00","$7,440.00","$2,088.87",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0523870000
"Wednesday January 15, 2025",046382-0010,"2500 BARNETT ST, JACKSONVILLE, FL- 32209","$11,700.00","$3,371.00","$1,603.71",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0463820010
"Wednesday January 15, 2025",084606-0000,"0 W 26TH ST, JACKSONVILLE, FL- 32209","$16,400.00","$7,165.00","$2,197.70",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0846060000
"Wednesday January 15, 2025",046382-0010,"2500 BARNETT ST, JACKSONVILLE, FL- 32209","$11,700.00","$3,371.00","$1,603.71",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0463820010
"Wednesday January 15, 2025",084606-0000,"0 W 26TH ST, JACKSONVILLE, FL- 32209","$16,400.00","$7,165.00","$2,197.70",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0846060000
"Wednesday January 15, 2025",046382-0010,"2500 BARNETT ST, JACKSONVILLE, FL- 32209","$11,700.00","$3,371.00","$1,603.71",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0463820010
"Wednesday January 15, 2025",084606-0000,"0 W 26TH ST, JACKSONVILLE, FL- 32209","$16,400.00","$7,165.00","$2,197.70",https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0846060000
